Manufacturer,xEV Model Name,Variant Name,Vehicle Type & Segment,Vehicle CMVR Category,Incentive Amount (In INR),Status,Links
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),TATA XPRES-T EV XT+,TATA XPRES-T EV XT+,Four Wheeler ( e-4W ),M1,215000,ACTIVE,"{""Range (Km)"": ""213"", ""Max. Speed (Km/Hr)"": ""80.7"", ""Acceleration (m/s2)"": ""1.55"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""11.8"", ""Battery Technology"": ""Lithium Iron "", ""Battery Capacity (kWh)"": ""21.5"", ""Battery Density (Wh/Kg)"": ""121"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),TATA NEXON EV XZ+ DK,TATA NEXON EV XZ+ DK,Four Wheeler ( e-4W ),M1,302000,ACTIVE,"{""Range (Km)"": ""310"", ""Max. Speed (Km/Hr)"": ""78.2"", ""Acceleration (m/s2)"": ""1.71"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""12"", ""Battery Technology"": ""Lithium Ion Iron Phosphate"", ""Battery Capacity (kWh)"": ""30.2"", ""Battery Density (Wh/Kg)"": ""179"", ""Battery cycle (No. of Cycles)"": ""1200""}"
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),Tata Tigor EV XZ+,Tata Tigor EV XZ+,Four Wheeler ( e-4W ),M1,259800,ACTIVE,"{""Range (Km)"": ""314"", ""Max. Speed (Km/Hr)"": ""116.5"", ""Acceleration (m/s2)"": ""1.4"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""11"", ""Battery Technology"": ""Lithium Ion Iron Phosphate"", ""Battery Capacity (kWh)"": ""26.0"", ""Battery Density (Wh/Kg)"": ""179"", ""Battery cycle (No. of Cycles)"": ""1200""}"
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),Tata Tigor EV XE (26 kWh),Tata Tigor EV XE (26 kWh),Four Wheeler ( e-4W ),M1,239800,ACTIVE,"{""Range (Km)"": ""314"", ""Max. Speed (Km/Hr)"": ""116.5"", ""Acceleration (m/s2)"": ""1.4"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""11"", ""Battery Technology"": ""Lithium Ion Iron Phosphate "", ""Battery Capacity (kWh)"": ""26.00"", ""Battery Density (Wh/Kg)"": ""179"", ""Battery cycle (No. of Cycles)"": ""1200""}"
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),Tata Tigor EV XM (26 kWh),Tata Tigor EV XM (26 kWh),Four Wheeler ( e-4W ),M1,249800,ACTIVE,"{""Range (Km)"": ""314"", ""Max. Speed (Km/Hr)"": ""116.5"", ""Acceleration (m/s2)"": ""1.4"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""11"", ""Battery Technology"": ""Lithium Ion Iron Phosphate "", ""Battery Capacity (kWh)"": ""26.00"", ""Battery Density (Wh/Kg)"": ""179"", ""Battery cycle (No. of Cycles)"": ""1200""}"
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),TATA TIGOR XPRES-T EV XM,TATA TIGOR XPRES-T EV XM,Four Wheeler ( e-4W ),M1,260000,ACTIVE,"{""Range (Km)"": ""314"", ""Max. Speed (Km/Hr)"": ""116.5"", ""Acceleration (m/s2)"": ""1.4"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""11"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""26.00"", ""Battery Density (Wh/Kg)"": ""179"", ""Battery cycle (No. of Cycles)"": ""1200""}"
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),TATA TIGOR EV XZ+ LUX,TATA TIGOR EV XZ+ LUX,Four Wheeler ( e-4W ),M1,260000,ACTIVE,"{""Range (Km)"": ""317"", ""Max. Speed (Km/Hr)"": ""115"", ""Acceleration (m/s2)"": ""2.3"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""11.3"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""26.00"", ""Battery Density (Wh/Kg)"": ""179"", ""Battery cycle (No. of Cycles)"": ""1200""}"
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),TATA TIAGO EV XT,TATA TIAGO EV XT,Four Wheeler ( e-4W ),M1,199800,ACTIVE,"{""Range (Km)"": ""315"", ""Max. Speed (Km/Hr)"": ""117.6"", ""Acceleration (m/s2)"": ""1.81"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""9.28"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""24.00"", ""Battery Density (Wh/Kg)"": ""179"", ""Battery cycle (No. of Cycles)"": ""1200""}"
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),TATA TIAGO EV XZ+ Tech WMU,TATA TIAGO EV XZ+ Tech WMU,Four Wheeler ( e-4W ),M1,235800,ACTIVE,"{""Range (Km)"": ""315"", ""Max. Speed (Km/Hr)"": ""117.6"", ""Acceleration (m/s2)"": ""1.81"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""9.28"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""24.00"", ""Battery Density (Wh/Kg)"": ""179"", ""Battery cycle (No. of Cycles)"": ""1200""}"
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),TATA TIAGO EV XZ+ Tech,TATA TIAGO EV XZ+ Tech,Four Wheeler ( e-4W ),M1,225800,ACTIVE,"{""Range (Km)"": ""315"", ""Max. Speed (Km/Hr)"": ""117.6"", ""Acceleration (m/s2)"": ""1.81"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""9.28"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""24.00"", ""Battery Density (Wh/Kg)"": ""179"", ""Battery cycle (No. of Cycles)"": ""1200""}"
