Manufacturer,xEV Model Name,Variant Name,Vehicle Type & Segment,Vehicle CMVR Category,Incentive Amount (In INR),Status,Links
Jitendra New Ev Tech Pvt. Ltd.,DREAM 1.2DV,N/A,Three Wheeler ( e-3W ),e-cart,40164,EXPIRED,"{""Range (Km)"": ""97.8"", ""Max. Speed (Km/Hr)"": ""0"", ""Acceleration (m/s2)"": ""0"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""5.9"", ""Battery Technology"": ""Lithium Iron phosphate"", ""Battery Capacity (kWh)"": ""4.3"", ""Battery Density (Wh/Kg)"": ""143"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Jitendra New Ev Tech Pvt. Ltd.,JMT 1000 HS PLUS,JMT 1000 HS PLUS,Two Wheeler ( e-2W ),L1,60000,ACTIVE,"{""Range (Km)"": ""156"", ""Max. Speed (Km/Hr)"": ""42"", ""Acceleration (m/s2)"": ""0.65"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""3.23"", ""Battery Technology"": ""Lithium-Ion"", ""Battery Capacity (kWh)"": ""4.04"", ""Battery Density (Wh/Kg)"": ""200"", ""Battery cycle (No. of Cycles)"": ""1001""}"
Jitendra New Ev Tech Pvt. Ltd.,JMT 1000 3K,JMT 1000 3K,Two Wheeler ( e-2W ),L1,48000,ACTIVE,"{""Range (Km)"": ""117"", ""Max. Speed (Km/Hr)"": ""40"", ""Acceleration (m/s2)"": ""0.65"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""3.20"", ""Battery Technology"": ""Lithium-Ion"", ""Battery Capacity (kWh)"": ""3.20"", ""Battery Density (Wh/Kg)"": ""200"", ""Battery cycle (No. of Cycles)"": ""1001""}"
champion polyplast,SAARTHI SHAVAK E AUTO,SAARTHI SHAVAK DLX E AUTO,Three Wheeler ( e-3W ),L5M,66000,EXPIRED,"{""Range (Km)"": ""94.18"", ""Max. Speed (Km/Hr)"": ""40"", ""Acceleration (m/s2)"": ""0.65"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""6.23"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""6.6"", ""Battery Density (Wh/Kg)"": ""110"", ""Battery cycle (No. of Cycles)"": ""2000""}"
champion polyplast,SAARTHI SHAVAK DLX E - AUTO,N/A,Three Wheeler ( e-3W ),L5M,66000,EXPIRED,"{""Range (Km)"": ""94.18"", ""Max. Speed (Km/Hr)"": ""40"", ""Acceleration (m/s2)"": ""0.65"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""6.23"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""6.6"", ""Battery Density (Wh/Kg)"": ""110"", ""Battery cycle (No. of Cycles)"": ""2000""}"
champion polyplast,SAARTHI F2,N/A,Three Wheeler ( e-3W ),e-rickshaw,37680,EXPIRED,"{""Range (Km)"": ""105.70"", ""Max. Speed (Km/Hr)"": ""00"", ""Acceleration (m/s2)"": ""00"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""7.12"", ""Battery Technology"": ""Lithium Iron Phosphate"", ""Battery Capacity (kWh)"": ""4.4"", ""Battery Density (Wh/Kg)"": ""76.05"", ""Battery cycle (No. of Cycles)"": ""2000""}"
champion polyplast,SAARTHI F2 ( 5.1 KW ),N/A,Three Wheeler ( e-3W ),e-rickshaw,44110,ACTIVE,"{""Range (Km)"": ""123"", ""Max. Speed (Km/Hr)"": ""40"", ""Acceleration (m/s2)"": ""0.65"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""3.09"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""5.10"", ""Battery Density (Wh/Kg)"": ""162.22"", ""Battery cycle (No. of Cycles)"": ""5000""}"
Mahindra & Mahindra Ltd,Treo Yaari HRT,N/A,Three Wheeler ( e-3W ),e-rickshaw,37000,ACTIVE,"{""Range (Km)"": ""129"", ""Max. Speed (Km/Hr)"": ""00"", ""Acceleration (m/s2)"": ""00"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""3.41"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""3.7"", ""Battery Density (Wh/Kg)"": ""129.2"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Mahindra & Mahindra Ltd,Treo HRT,N/A,Three Wheeler ( e-3W ),L5M,68923,ACTIVE,"{""Range (Km)"": ""171"", ""Max. Speed (Km/Hr)"": ""40"", ""Acceleration (m/s2)"": ""0.65"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""5.8"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""7.4"", ""Battery Density (Wh/Kg)"": ""129.2"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Mahindra & Mahindra Ltd,Treo SFT,N/A,Three Wheeler ( e-3W ),L5M,66523,ACTIVE,"{""Range (Km)"": ""171"", ""Max. Speed (Km/Hr)"": ""40"", ""Acceleration (m/s2)"": ""0.65"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""5.8"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""7.4"", ""Battery Density (Wh/Kg)"": ""129.2"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Mahindra & Mahindra Ltd,Treo Yaari SFT,N/A,Three Wheeler ( e-3W ),e-rickshaw,37000,ACTIVE,"{""Range (Km)"": ""129"", ""Max. Speed (Km/Hr)"": ""00"", ""Acceleration (m/s2)"": ""00"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""3.41"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""3.7"", ""Battery Density (Wh/Kg)"": ""129.2"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Mahindra & Mahindra Ltd,e-Verito C2,N/A,Four Wheeler ( e-4W ),M1,159000,EXPIRED,"{""Range (Km)"": ""143"", ""Max. Speed (Km/Hr)"": ""80"", ""Acceleration (m/s2)"": ""1.04"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""14.9"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""15.9"", ""Battery Density (Wh/Kg)"": ""129.2"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Mahindra & Mahindra Ltd,e-Verito C4,N/A,Four Wheeler ( e-4W ),M1,159000,EXPIRED,"{""Range (Km)"": ""143"", ""Max. Speed (Km/Hr)"": ""80"", ""Acceleration (m/s2)"": ""1.04"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""14.9"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""15.9"", ""Battery Density (Wh/Kg)"": ""129.2"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Mahindra & Mahindra Ltd,e-Verito C6,N/A,Four Wheeler ( e-4W ),M1,159000,EXPIRED,"{""Range (Km)"": ""143"", ""Max. Speed (Km/Hr)"": ""80"", ""Acceleration (m/s2)"": ""1.04"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""14.9"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""15.9"", ""Battery Density (Wh/Kg)"": ""129.2"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Mahindra & Mahindra Ltd,e-Verito D2,N/A,Four Wheeler ( e-4W ),M1,212000,EXPIRED,"{""Range (Km)"": ""181"", ""Max. Speed (Km/Hr)"": ""80"", ""Acceleration (m/s2)"": ""1.04"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""14.6"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""21.2"", ""Battery Density (Wh/Kg)"": ""129.2"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Mahindra & Mahindra Ltd,e-Verito D4,N/A,Four Wheeler ( e-4W ),M1,212000,EXPIRED,"{""Range (Km)"": ""181"", ""Max. Speed (Km/Hr)"": ""80"", ""Acceleration (m/s2)"": ""1.04"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""14.6"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""21.2"", ""Battery Density (Wh/Kg)"": ""129.2"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Mahindra & Mahindra Ltd,e-Verito D6,N/A,Four Wheeler ( e-4W ),M1,212000,EXPIRED,"{""Range (Km)"": ""181"", ""Max. Speed (Km/Hr)"": ""80"", ""Acceleration (m/s2)"": ""1.04"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""14.6"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""21.2"", ""Battery Density (Wh/Kg)"": ""129.2"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Mahindra & Mahindra Ltd,Mahindra e-Supro Cargo Van,N/A,Four Wheeler ( e-4W ),N1,161000,EXPIRED,"{""Range (Km)"": ""134"", ""Max. Speed (Km/Hr)"": ""60"", ""Acceleration (m/s2)"": ""1.04"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""14.2"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""16.1"", ""Battery Density (Wh/Kg)"": ""81.6"", ""Battery cycle (No. of Cycles)"": ""5000""}"
Mahindra & Mahindra Ltd,Mahindra e-Supro Cargo Van VX,N/A,Four Wheeler ( e-4W ),N1,161000,EXPIRED,"{""Range (Km)"": ""134"", ""Max. Speed (Km/Hr)"": ""60"", ""Acceleration (m/s2)"": ""1.04"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""14.2"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""16.1"", ""Battery Density (Wh/Kg)"": ""81.6"", ""Battery cycle (No. of Cycles)"": ""5000""}"
Mahindra & Mahindra Ltd,Treo Zor,N/A,Three Wheeler ( e-3W ),L5N,74000,ACTIVE,"{""Range (Km)"": ""125"", ""Max. Speed (Km/Hr)"": ""50.2"", ""Acceleration (m/s2)"": ""0.76"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""6.44"", ""Battery Technology"": ""Lithium ion (Lithium Iron phosphate)"", ""Battery Capacity (kWh)"": ""7.4"", ""Battery Density (Wh/Kg)"": ""129.2"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Mahindra & Mahindra Ltd,Treo Zor FB,N/A,Three Wheeler ( e-3W ),L5N,74000,ACTIVE,"{""Range (Km)"": ""125"", ""Max. Speed (Km/Hr)"": ""50.2"", ""Acceleration (m/s2)"": ""0.76"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""6.44"", ""Battery Technology"": ""Lithium ion (Lithium Iron phosphate)"", ""Battery Capacity (kWh)"": ""7.4"", ""Battery Density (Wh/Kg)"": ""129.2"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Mahindra & Mahindra Ltd,Treo Zor DV,N/A,Three Wheeler ( e-3W ),L5N,74000,ACTIVE,"{""Range (Km)"": ""118"", ""Max. Speed (Km/Hr)"": ""50.2"", ""Acceleration (m/s2)"": ""0.76"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""6.75"", ""Battery Technology"": ""Lithium ion (Lithium Iron phosphate)"", ""Battery Capacity (kWh)"": ""7.4"", ""Battery Density (Wh/Kg)"": ""129.2"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Mahindra & Mahindra Ltd,Treo Yaari Cargo HRT DV,N/A,Three Wheeler ( e-3W ),e-cart,37000,ACTIVE,"{""Range (Km)"": ""113"", ""Max. Speed (Km/Hr)"": ""0"", ""Acceleration (m/s2)"": ""0"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""4.5"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""3.70"", ""Battery Density (Wh/Kg)"": ""129.2"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Mahindra & Mahindra Ltd,Treo Yaari Cargo HRT FB,N/A,Three Wheeler ( e-3W ),e-cart,37000,ACTIVE,"{""Range (Km)"": ""116"", ""Max. Speed (Km/Hr)"": ""0"", ""Acceleration (m/s2)"": ""0"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""4.3"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""3.70"", ""Battery Density (Wh/Kg)"": ""129.2"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Mahindra & Mahindra Ltd,Treo Yaari Cargo HRT PU,N/A,Three Wheeler ( e-3W ),e-cart,37000,ACTIVE,"{""Range (Km)"": ""116"", ""Max. Speed (Km/Hr)"": ""0"", ""Acceleration (m/s2)"": ""0"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""4.3"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""3.70"", ""Battery Density (Wh/Kg)"": ""129.2"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Mahindra & Mahindra Ltd,Treo Yaari Cargo SFT DV,N/A,Three Wheeler ( e-3W ),e-cart,37000,ACTIVE,"{""Range (Km)"": ""113"", ""Max. Speed (Km/Hr)"": ""0"", ""Acceleration (m/s2)"": ""0"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""4.5"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""3.70"", ""Battery Density (Wh/Kg)"": ""129.2"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Mahindra & Mahindra Ltd,Treo Yaari Cargo SFT FB,N/A,Three Wheeler ( e-3W ),e-cart,37000,ACTIVE,"{""Range (Km)"": ""116"", ""Max. Speed (Km/Hr)"": ""0"", ""Acceleration (m/s2)"": ""0"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""4.3"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""3.70"", ""Battery Density (Wh/Kg)"": ""129.2"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Mahindra & Mahindra Ltd,Treo Yaari Cargo SFT PU,N/A,Three Wheeler ( e-3W ),e-cart,37000,ACTIVE,"{""Range (Km)"": ""116"", ""Max. Speed (Km/Hr)"": ""0"", ""Acceleration (m/s2)"": ""0"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""4.3"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""3.70"", ""Battery Density (Wh/Kg)"": ""129.2"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Mahindra & Mahindra Ltd,Zor Grand PU,N/A,Three Wheeler ( e-3W ),L5N,90000,ACTIVE,"{""Range (Km)"": ""148"", ""Max. Speed (Km/Hr)"": ""51"", ""Acceleration (m/s2)"": ""2"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""7.4"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""10.24"", ""Battery Density (Wh/Kg)"": ""162.4"", ""Battery cycle (No. of Cycles)"": ""3000""}"
Mahindra & Mahindra Ltd,Zor Grand DAC 1,N/A,Three Wheeler ( e-3W ),L5N,97500,ACTIVE,"{""Range (Km)"": ""146"", ""Max. Speed (Km/Hr)"": ""51"", ""Acceleration (m/s2)"": ""2"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""8.2"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""10.24"", ""Battery Density (Wh/Kg)"": ""162.4"", ""Battery cycle (No. of Cycles)"": ""3000""}"
Mahindra & Mahindra Ltd,Zor Grand DAC 2,N/A,Three Wheeler ( e-3W ),L5N,98750,ACTIVE,"{""Range (Km)"": ""146"", ""Max. Speed (Km/Hr)"": ""51"", ""Acceleration (m/s2)"": ""2"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""8.2"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""10.24"", ""Battery Density (Wh/Kg)"": ""162.4"", ""Battery cycle (No. of Cycles)"": ""3000""}"
Victory Electric Vehicles International Private Limited,VICTORY VIKRANT,NA1,Three Wheeler ( e-3W ),e-rickshaw,41600,EXPIRED,"{""Range (Km)"": ""136.46"", ""Max. Speed (Km/Hr)"": ""0.00"", ""Acceleration (m/s2)"": ""0.00"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""4.55"", ""Battery Technology"": ""Lithium Iron Phosphate"", ""Battery Capacity (kWh)"": ""5.2"", ""Battery Density (Wh/Kg)"": ""131"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Victory Electric Vehicles International Private Limited,VICTORY +,VICTORY +,Three Wheeler ( e-3W ),e-rickshaw,38976,EXPIRED,"{""Range (Km)"": ""136.46"", ""Max. Speed (Km/Hr)"": ""0.00"", ""Acceleration (m/s2)"": ""0"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""4.55"", ""Battery Technology"": ""Lithium Iron Phosphate"", ""Battery Capacity (kWh)"": ""5.2"", ""Battery Density (Wh/Kg)"": ""131"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Victory Electric Vehicles International Private Limited,VICTORY BHIM +,NA3,Three Wheeler ( e-3W ),e-cart,38976,EXPIRED,"{""Range (Km)"": ""136.46"", ""Max. Speed (Km/Hr)"": ""0.00"", ""Acceleration (m/s2)"": ""0"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""4.55"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""5.2"", ""Battery Density (Wh/Kg)"": ""131"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Victory Electric Vehicles International Private Limited,VICTORY BHIM CLEANER +,NA4,Three Wheeler ( e-3W ),e-cart,42976,EXPIRED,"{""Range (Km)"": ""136.46"", ""Max. Speed (Km/Hr)"": ""0.00"", ""Acceleration (m/s2)"": ""0"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""4.55"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""5.2"", ""Battery Density (Wh/Kg)"": ""131"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Li-ions Elektrik Solutions Pvt Ltd,SPOCK,SPOCK,Two Wheeler ( e-2W ),L1,27465,EXPIRED,"{""Range (Km)"": ""107.38"", ""Max. Speed (Km/Hr)"": ""40"", ""Acceleration (m/s2)"": ""0.65"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""4.03"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""2.9"", ""Battery Density (Wh/Kg)"": ""213"", ""Battery cycle (No. of Cycles)"": ""1500""}"
Y C Electric Vehicle,YATRI SUPER,NA 1,Three Wheeler ( e-3W ),e-rickshaw,34000,ACTIVE,"{""Range (Km)"": ""113.2"", ""Max. Speed (Km/Hr)"": ""00"", ""Acceleration (m/s2)"": ""00"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""4.62"", ""Battery Technology"": ""Nickel-Manganese-Cobalt"", ""Battery Capacity (kWh)"": ""4.3"", ""Battery Density (Wh/Kg)"": ""99.5"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Y C Electric Vehicle,YATRI CART,NA 1111,Three Wheeler ( e-3W ),e-cart,37000,EXPIRED,"{""Range (Km)"": ""110.78"", ""Max. Speed (Km/Hr)"": ""00"", ""Acceleration (m/s2)"": ""00"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""4.79"", ""Battery Technology"": ""Lithium ion (Lithium Iron phosphate)"", ""Battery Capacity (kWh)"": ""4.4"", ""Battery Density (Wh/Kg)"": ""99.5"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Y C Electric Vehicle,YATRI SUPER(5.1kWh),N/A,Three Wheeler ( e-3W ),e-rickshaw,41000,ACTIVE,"{""Range (Km)"": ""120"", ""Max. Speed (Km/Hr)"": ""0.00"", ""Acceleration (m/s2)"": ""0.00"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""5.70"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""5.10"", ""Battery Density (Wh/Kg)"": ""145"", ""Battery cycle (No. of Cycles)"": ""4000""}"
Best Way Agencies  Pvt. Ltd.,ele ex,N/A,Three Wheeler ( e-3W ),e-rickshaw,37000,EXPIRED,"{""Range (Km)"": ""126.81"", ""Max. Speed (Km/Hr)"": ""00"", ""Acceleration (m/s2)"": ""00"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""4.44"", ""Battery Technology"": ""Lithium-Iron-Phosphate"", ""Battery Capacity (kWh)"": ""4.4"", ""Battery Density (Wh/Kg)"": ""76.05"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Best Way Agencies  Pvt. Ltd.,ele ex cargo,N/A,Three Wheeler ( e-3W ),e-cart,37000,EXPIRED,"{""Range (Km)"": ""126.81"", ""Max. Speed (Km/Hr)"": ""00"", ""Acceleration (m/s2)"": ""00"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""4.44"", ""Battery Technology"": ""Lithium Iron Phosphate"", ""Battery Capacity (kWh)"": ""4.3"", ""Battery Density (Wh/Kg)"": ""76.05"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Tvs Motor Company Limited,TVS iQUBE ELECTRIC,N/A,Two Wheeler ( e-2W ),L2,22500,ACTIVE,"{""Range (Km)"": ""86.1"", ""Max. Speed (Km/Hr)"": ""40"", ""Acceleration (m/s2)"": ""0.65"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""5.15"", ""Battery Technology"": ""Nickel Manganese Cobalt"", ""Battery Capacity (kWh)"": ""2.25"", ""Battery Density (Wh/Kg)"": ""94.5"", ""Battery cycle (No. of Cycles)"": ""1000""}"
Tvs Motor Company Limited,TVS iQUBE ELECTRIC SMARTXONNECT,N/A,Two Wheeler ( e-2W ),L2,51000,ACTIVE,"{""Range (Km)"": ""115"", ""Max. Speed (Km/Hr)"": ""40"", ""Acceleration (m/s2)"": ""0.65"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""4.62"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""3.40"", ""Battery Density (Wh/Kg)"": ""146"", ""Battery cycle (No. of Cycles)"": ""1000""}"
Tvs Motor Company Limited,TVS iQUBE ELECTRIC S,N/A,Two Wheeler ( e-2W ),L2,51000,ACTIVE,"{""Range (Km)"": ""113"", ""Max. Speed (Km/Hr)"": ""40"", ""Acceleration (m/s2)"": ""0.65"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""5.29"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""3.40"", ""Battery Density (Wh/Kg)"": ""146"", ""Battery cycle (No. of Cycles)"": ""1000""}"
Tvs Motor Company Limited,Tvs iQube electricS,NA,Two Wheeler ( e-2W ),L2,22065,ACTIVE,"{""Range (Km)"": ""113"", ""Max. Speed (Km/Hr)"": ""40"", ""Acceleration (m/s2)"": ""0.65"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""5.29"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""3.40"", ""Battery Density (Wh/Kg)"": ""146"", ""Battery cycle (No. of Cycles)"": ""1000""}"
Tvs Motor Company Limited,TVS iQUBE ELECTRICSMARTXONNECT,N A,Two Wheeler ( e-2W ),L2,21131,ACTIVE,"{""Range (Km)"": ""115"", ""Max. Speed (Km/Hr)"": ""40"", ""Acceleration (m/s2)"": ""0.65"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""4.62"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""3.40"", ""Battery Density (Wh/Kg)"": ""146"", ""Battery cycle (No. of Cycles)"": ""1000""}"
Avon Cycles Ltd,GREENWAY HP DX,NA11,Three Wheeler ( e-3W ),e-rickshaw,41231,EXPIRED,"{""Range (Km)"": ""91.72"", ""Max. Speed (Km/Hr)"": ""00"", ""Acceleration (m/s2)"": ""00"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""5.38"", ""Battery Technology"": ""Lithium ion (Lithium Iron phosphate)"", ""Battery Capacity (kWh)"": ""4.4"", ""Battery Density (Wh/Kg)"": ""103.62"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Avon Cycles Ltd,E-RICK 306 LI,NA111,Three Wheeler ( e-3W ),e-rickshaw,41231,ACTIVE,"{""Range (Km)"": ""91.72"", ""Max. Speed (Km/Hr)"": ""00"", ""Acceleration (m/s2)"": ""00"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""5.38"", ""Battery Technology"": ""Lithium ion (Lithium Iron phosphate)"", ""Battery Capacity (kWh)"": ""4.4"", ""Battery Density (Wh/Kg)"": ""103.62"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Goenka Electric Motor Vehicles Pvt. Ltd.,Prince Pro,NA 12,Three Wheeler ( e-3W ),e-rickshaw,37000,EXPIRED,"{""Range (Km)"": ""83.7"", ""Max. Speed (Km/Hr)"": ""17.6"", ""Acceleration (m/s2)"": ""0"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""4.46"", ""Battery Technology"": ""Lithium ion (Lithium Iron phosphate)"", ""Battery Capacity (kWh)"": ""3.7"", ""Battery Density (Wh/Kg)"": ""140"", ""Battery cycle (No. of Cycles)"": ""1500""}"
Goenka Electric Motor Vehicles Pvt. Ltd.,Prince Pro X,NA 13,Three Wheeler ( e-3W ),e-rickshaw,33025,ACTIVE,"{""Range (Km)"": ""109"", ""Max. Speed (Km/Hr)"": ""17.6"", ""Acceleration (m/s2)"": ""0"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""4.31"", ""Battery Technology"": ""Lithium ion (Lithium Iron phosphate)"", ""Battery Capacity (kWh)"": ""4.3"", ""Battery Density (Wh/Kg)"": ""132.41"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Goenka Electric Motor Vehicles Pvt. Ltd.,Samrat Pro X,NA31,Three Wheeler ( e-3W ),e-cart,32865,EXPIRED,"{""Range (Km)"": ""131.29"", ""Max. Speed (Km/Hr)"": ""20.12"", ""Acceleration (m/s2)"": ""0"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""4.22"", ""Battery Technology"": ""Lithium ion (Lithium Iron phosphate)"", ""Battery Capacity (kWh)"": ""4.3"", ""Battery Density (Wh/Kg)"": ""132.41"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Energy Electric Vehicles,Premium Udaan,N/A,Three Wheeler ( e-3W ),e-rickshaw,37000,EXPIRED,"{""Range (Km)"": ""108.37"", ""Max. Speed (Km/Hr)"": ""0"", ""Acceleration (m/s2)"": ""0"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""5.37"", ""Battery Technology"": ""Lithium Iron Phosphate"", ""Battery Capacity (kWh)"": ""4.4"", ""Battery Density (Wh/Kg)"": ""76.05"", ""Battery cycle (No. of Cycles)"": ""2000""}"
